transcript	pN	pS	dN	dS	mk.raw.p.value	mk.odds.ni	dos
rna-XM_031577366.1	5.0	0.0	1.0	0.0	1.0	nan	0.0
rna-XM_012824660.2	5.0	3.0	0.0	4.0	0.08080808080808079	inf	-0.625
rna-XM_012824600.2	51.0	30.0	3.0	5.0	0.254874264491736	2.8333333333333335	-0.25462962962962965
rna-XM_031585632.1	34.0	19.0	0.0	0.0	1.0	nan	NA
rna-XM_031585696.1	34.0	19.0	0.0	0.0	1.0	nan	NA
rna-XM_031585758.1	35.0	16.0	0.0	0.0	1.0	nan	NA
rna-XM_012824620.2	54.0	27.0	0.0	0.0	1.0	nan	NA
rna-XM_031585984.1	10.0	17.0	1.0	0.0	0.39285714285714285	0.0	0.6296296296296297
rna-XM_031585917.1	17.0	16.0	1.0	1.0	1.0	1.0625	-0.015151515151515138
rna-XM_012824639.2	49.0	71.0	1.0	1.0	1.0	0.6901408450704225	0.09166666666666667
rna-XM_012824641.2	49.0	71.0	1.0	1.0	1.0	0.6901408450704225	0.09166666666666667
rna-XM_012824640.2	49.0	71.0	1.0	1.0	1.0	0.6901408450704225	0.09166666666666667
rna-XM_031586122.1	49.0	71.0	1.0	1.0	1.0	0.6901408450704225	0.09166666666666667
rna-XM_031586310.1	1.0	18.0	0.0	0.0	1.0	nan	NA
rna-XM_012824656.2	1.0	18.0	0.0	0.0	1.0	nan	NA
rna-XM_031586440.1	1.0	17.0	0.0	1.0	1.0	inf	-0.05555555555555555
rna-XM_012824624.2	1.0	16.0	0.0	1.0	1.0	inf	-0.058823529411764705
rna-XM_031586554.1	35.0	23.0	1.0	0.0	1.0	0.0	0.39655172413793105
rna-XM_012824629.2	0.0	7.0	0.0	0.0	1.0	nan	NA
rna-XM_012824623.2	14.0	12.0	0.0	2.0	0.48148148148148145	inf	-0.5384615384615384
rna-XM_012824627.2	3.0	10.0	0.0	0.0	1.0	nan	NA
rna-XM_031565088.1	31.0	60.0	4.0	1.0	0.05756475878305476	0.12916666666666668	0.4593406593406594
rna-XM_012824618.2	2.0	3.0	0.0	0.0	1.0	nan	NA
rna-XM_031565970.1	7.0	4.0	0.0	0.0	1.0	nan	NA
rna-XM_031573397.1	60.0	38.0	1.0	0.0	1.0	0.0	0.3877551020408163
rna-XM_031587064.1	51.0	24.0	0.0	0.0	1.0	nan	NA
rna-XM_031586970.1	43.0	36.0	0.0	0.0	1.0	nan	NA
rna-XM_031587153.1	46.0	22.0	0.0	0.0	1.0	nan	NA
rna-XM_031587240.1	29.0	31.0	1.0	0.0	0.49180327868852447	0.0	0.5166666666666666
rna-XM_031587313.1	4.0	16.0	0.0	0.0	1.0	nan	NA
rna-XM_012824652.2	6.0	27.0	0.0	0.0	1.0	nan	NA
rna-XM_012824654.2	1.0	10.0	0.0	0.0	1.0	nan	NA
rna-XM_031587532.1	1.0	19.0	0.0	2.0	1.0	inf	-0.05
rna-XM_031587602.1	110.0	67.0	2.0	3.0	0.37424665046650885	2.462686567164179	-0.22146892655367234
